asset_id,section_id,reading_date,condition_score,trend_flag
AST0001,SEC001,2026-09-01,80,Stable
AST0001,SEC001,2026-09-09,80,Stable
AST0001,SEC001,2026-09-17,82,Stable
AST0001,SEC001,2026-09-25,80,Stable
AST0001,SEC001,2026-09-30,82,Stable
AST0002,SEC001,2026-09-01,74,Stable
AST0002,SEC001,2026-09-09,73,Stable
AST0002,SEC001,2026-09-17,74,Stable
AST0002,SEC001,2026-09-25,75,Stable
AST0002,SEC001,2026-09-30,77,Stable
AST0003,SEC001,2026-09-01,78,Stable
AST0003,SEC001,2026-09-09,79,Stable
AST0003,SEC001,2026-09-17,80,Stable
AST0003,SEC001,2026-09-25,78,Stable
AST0003,SEC001,2026-09-30,76,Stable
AST0004,SEC001,2026-09-01,74,Degrading
AST0004,SEC001,2026-09-09,67,Degrading
AST0004,SEC001,2026-09-17,58,Degrading
AST0004,SEC001,2026-09-25,53,Degrading
AST0004,SEC001,2026-09-30,47,Degrading
AST0005,SEC001,2026-09-01,93,Stable
AST0005,SEC001,2026-09-09,93,Stable
AST0005,SEC001,2026-09-17,94,Stable
AST0005,SEC001,2026-09-25,96,Stable
AST0005,SEC001,2026-09-30,98,Stable
AST0006,SEC001,2026-09-01,82,Stable
AST0006,SEC001,2026-09-09,84,Stable
AST0006,SEC001,2026-09-17,84,Stable
AST0006,SEC001,2026-09-25,84,Stable
AST0006,SEC001,2026-09-30,85,Stable
AST0007,SEC001,2026-09-01,78,Stable
AST0007,SEC001,2026-09-09,78,Stable
AST0007,SEC001,2026-09-17,77,Stable
AST0007,SEC001,2026-09-25,75,Stable
AST0007,SEC001,2026-09-30,74,Stable
AST0008,SEC002,2026-09-01,78,Stable
AST0008,SEC002,2026-09-09,80,Stable
AST0008,SEC002,2026-09-17,79,Stable
AST0008,SEC002,2026-09-25,78,Stable
AST0008,SEC002,2026-09-30,77,Stable
AST0009,SEC002,2026-09-01,85,Stable
AST0009,SEC002,2026-09-09,87,Stable
AST0009,SEC002,2026-09-17,89,Stable
AST0009,SEC002,2026-09-25,91,Stable
AST0009,SEC002,2026-09-30,91,Stable
AST0010,SEC002,2026-09-01,72,Stable
AST0010,SEC002,2026-09-09,72,Stable
AST0010,SEC002,2026-09-17,71,Stable
AST0010,SEC002,2026-09-25,71,Stable
AST0010,SEC002,2026-09-30,70,Stable
AST0011,SEC002,2026-09-01,77,Stable
AST0011,SEC002,2026-09-09,79,Stable
AST0011,SEC002,2026-09-17,78,Stable
AST0011,SEC002,2026-09-25,78,Stable
AST0011,SEC002,2026-09-30,76,Stable
AST0012,SEC002,2026-09-01,63,Degrading
AST0012,SEC002,2026-09-09,57,Degrading
AST0012,SEC002,2026-09-17,48,Degrading
AST0012,SEC002,2026-09-25,43,Degrading
AST0012,SEC002,2026-09-30,34,Degrading
AST0013,SEC002,2026-09-01,83,Stable
AST0013,SEC002,2026-09-09,81,Stable
AST0013,SEC002,2026-09-17,83,Stable
AST0013,SEC002,2026-09-25,83,Stable
AST0013,SEC002,2026-09-30,84,Stable
AST0014,SEC002,2026-09-01,86,Stable
AST0014,SEC002,2026-09-09,86,Stable
AST0014,SEC002,2026-09-17,85,Stable
AST0014,SEC002,2026-09-25,83,Stable
AST0014,SEC002,2026-09-30,83,Stable
AST0015,SEC002,2026-09-01,83,Stable
AST0015,SEC002,2026-09-09,81,Stable
AST0015,SEC002,2026-09-17,82,Stable
AST0015,SEC002,2026-09-25,83,Stable
AST0015,SEC002,2026-09-30,81,Stable
AST0016,SEC002,2026-09-01,86,Stable
AST0016,SEC002,2026-09-09,85,Stable
AST0016,SEC002,2026-09-17,84,Stable
AST0016,SEC002,2026-09-25,86,Stable
AST0016,SEC002,2026-09-30,86,Stable
AST0017,SEC002,2026-09-01,71,Stable
AST0017,SEC002,2026-09-09,69,Stable
AST0017,SEC002,2026-09-17,71,Stable
AST0017,SEC002,2026-09-25,72,Stable
AST0017,SEC002,2026-09-30,74,Stable
AST0018,SEC003,2026-09-01,91,Stable
AST0018,SEC003,2026-09-09,90,Stable
AST0018,SEC003,2026-09-17,92,Stable
AST0018,SEC003,2026-09-25,93,Stable
AST0018,SEC003,2026-09-30,94,Stable
AST0019,SEC003,2026-09-01,84,Stable
AST0019,SEC003,2026-09-09,86,Stable
AST0019,SEC003,2026-09-17,87,Stable
AST0019,SEC003,2026-09-25,87,Stable
AST0019,SEC003,2026-09-30,89,Stable
AST0020,SEC003,2026-09-01,87,Stable
AST0020,SEC003,2026-09-09,89,Stable
AST0020,SEC003,2026-09-17,87,Stable
AST0020,SEC003,2026-09-25,86,Stable
AST0020,SEC003,2026-09-30,85,Stable
AST0021,SEC003,2026-09-01,76,Stable
AST0021,SEC003,2026-09-09,75,Stable
AST0021,SEC003,2026-09-17,74,Stable
AST0021,SEC003,2026-09-25,73,Stable
AST0021,SEC003,2026-09-30,75,Stable
AST0022,SEC003,2026-09-01,71,Stable
AST0022,SEC003,2026-09-09,69,Stable
AST0022,SEC003,2026-09-17,70,Stable
AST0022,SEC003,2026-09-25,71,Stable
AST0022,SEC003,2026-09-30,73,Stable
AST0023,SEC003,2026-09-01,85,Stable
AST0023,SEC003,2026-09-09,83,Stable
AST0023,SEC003,2026-09-17,82,Stable
AST0023,SEC003,2026-09-25,82,Stable
AST0023,SEC003,2026-09-30,82,Stable
AST0024,SEC003,2026-09-01,85,Degrading
AST0024,SEC003,2026-09-09,81,Degrading
AST0024,SEC003,2026-09-17,72,Degrading
AST0024,SEC003,2026-09-25,67,Degrading
AST0024,SEC003,2026-09-30,61,Degrading
AST0025,SEC003,2026-09-01,92,Stable
AST0025,SEC003,2026-09-09,91,Stable
AST0025,SEC003,2026-09-17,92,Stable
AST0025,SEC003,2026-09-25,90,Stable
AST0025,SEC003,2026-09-30,92,Stable
AST0026,SEC003,2026-09-01,76,Stable
AST0026,SEC003,2026-09-09,76,Stable
AST0026,SEC003,2026-09-17,75,Stable
AST0026,SEC003,2026-09-25,73,Stable
AST0026,SEC003,2026-09-30,71,Stable
AST0027,SEC003,2026-09-01,75,Stable
AST0027,SEC003,2026-09-09,77,Stable
AST0027,SEC003,2026-09-17,79,Stable
AST0027,SEC003,2026-09-25,79,Stable
AST0027,SEC003,2026-09-30,80,Stable
AST0028,SEC004,2026-09-01,66,Degrading
AST0028,SEC004,2026-09-09,57,Degrading
AST0028,SEC004,2026-09-17,51,Degrading
AST0028,SEC004,2026-09-25,42,Degrading
AST0028,SEC004,2026-09-30,35,Degrading
AST0029,SEC004,2026-09-01,80,Stable
AST0029,SEC004,2026-09-09,82,Stable
AST0029,SEC004,2026-09-17,83,Stable
AST0029,SEC004,2026-09-25,84,Stable
AST0029,SEC004,2026-09-30,82,Stable
AST0030,SEC004,2026-09-01,87,Stable
AST0030,SEC004,2026-09-09,88,Stable
AST0030,SEC004,2026-09-17,88,Stable
AST0030,SEC004,2026-09-25,90,Stable
AST0030,SEC004,2026-09-30,90,Stable
AST0031,SEC004,2026-09-01,68,Stable
AST0031,SEC004,2026-09-09,67,Stable
AST0031,SEC004,2026-09-17,69,Stable
AST0031,SEC004,2026-09-25,71,Stable
AST0031,SEC004,2026-09-30,69,Stable
AST0032,SEC004,2026-09-01,85,Degrading
AST0032,SEC004,2026-09-09,77,Degrading
AST0032,SEC004,2026-09-17,73,Degrading
AST0032,SEC004,2026-09-25,68,Degrading
AST0032,SEC004,2026-09-30,61,Degrading
AST0033,SEC004,2026-09-01,87,Stable
AST0033,SEC004,2026-09-09,87,Stable
AST0033,SEC004,2026-09-17,86,Stable
AST0033,SEC004,2026-09-25,88,Stable
AST0033,SEC004,2026-09-30,89,Stable
AST0034,SEC004,2026-09-01,83,Degrading
AST0034,SEC004,2026-09-09,79,Degrading
AST0034,SEC004,2026-09-17,72,Degrading
AST0034,SEC004,2026-09-25,66,Degrading
AST0034,SEC004,2026-09-30,59,Degrading
AST0035,SEC004,2026-09-01,74,Degrading
AST0035,SEC004,2026-09-09,65,Degrading
AST0035,SEC004,2026-09-17,61,Degrading
AST0035,SEC004,2026-09-25,56,Degrading
AST0035,SEC004,2026-09-30,50,Degrading
AST0036,SEC004,2026-09-01,74,Degrading
AST0036,SEC004,2026-09-09,67,Degrading
AST0036,SEC004,2026-09-17,61,Degrading
AST0036,SEC004,2026-09-25,52,Degrading
AST0036,SEC004,2026-09-30,45,Degrading
AST0037,SEC004,2026-09-01,85,Stable
AST0037,SEC004,2026-09-09,86,Stable
AST0037,SEC004,2026-09-17,84,Stable
AST0037,SEC004,2026-09-25,84,Stable
AST0037,SEC004,2026-09-30,84,Stable
AST0038,SEC005,2026-09-01,78,Stable
AST0038,SEC005,2026-09-09,79,Stable
AST0038,SEC005,2026-09-17,81,Stable
AST0038,SEC005,2026-09-25,79,Stable
AST0038,SEC005,2026-09-30,81,Stable
AST0039,SEC005,2026-09-01,85,Stable
AST0039,SEC005,2026-09-09,83,Stable
AST0039,SEC005,2026-09-17,82,Stable
AST0039,SEC005,2026-09-25,84,Stable
AST0039,SEC005,2026-09-30,84,Stable
AST0040,SEC005,2026-09-01,90,Stable
AST0040,SEC005,2026-09-09,91,Stable
AST0040,SEC005,2026-09-17,89,Stable
AST0040,SEC005,2026-09-25,88,Stable
AST0040,SEC005,2026-09-30,88,Stable
AST0041,SEC005,2026-09-01,86,Stable
AST0041,SEC005,2026-09-09,86,Stable
AST0041,SEC005,2026-09-17,87,Stable
AST0041,SEC005,2026-09-25,88,Stable
AST0041,SEC005,2026-09-30,86,Stable
AST0042,SEC005,2026-09-01,61,Degrading
AST0042,SEC005,2026-09-09,53,Degrading
AST0042,SEC005,2026-09-17,48,Degrading
AST0042,SEC005,2026-09-25,39,Degrading
AST0042,SEC005,2026-09-30,34,Degrading
AST0043,SEC005,2026-09-01,81,Stable
AST0043,SEC005,2026-09-09,79,Stable
AST0043,SEC005,2026-09-17,81,Stable
AST0043,SEC005,2026-09-25,82,Stable
AST0043,SEC005,2026-09-30,80,Stable
AST0044,SEC005,2026-09-01,73,Degrading
AST0044,SEC005,2026-09-09,66,Degrading
AST0044,SEC005,2026-09-17,62,Degrading
AST0044,SEC005,2026-09-25,53,Degrading
AST0044,SEC005,2026-09-30,48,Degrading
AST0045,SEC005,2026-09-01,85,Stable
AST0045,SEC005,2026-09-09,87,Stable
AST0045,SEC005,2026-09-17,87,Stable
AST0045,SEC005,2026-09-25,88,Stable
AST0045,SEC005,2026-09-30,89,Stable
AST0046,SEC006,2026-09-01,80,Degrading
AST0046,SEC006,2026-09-09,73,Degrading
AST0046,SEC006,2026-09-17,65,Degrading
AST0046,SEC006,2026-09-25,60,Degrading
AST0046,SEC006,2026-09-30,53,Degrading
AST0047,SEC006,2026-09-01,78,Stable
AST0047,SEC006,2026-09-09,80,Stable
AST0047,SEC006,2026-09-17,79,Stable
AST0047,SEC006,2026-09-25,77,Stable
AST0047,SEC006,2026-09-30,77,Stable
AST0048,SEC006,2026-09-01,83,Stable
AST0048,SEC006,2026-09-09,85,Stable
AST0048,SEC006,2026-09-17,85,Stable
AST0048,SEC006,2026-09-25,83,Stable
AST0048,SEC006,2026-09-30,83,Stable
AST0049,SEC006,2026-09-01,71,Degrading
AST0049,SEC006,2026-09-09,63,Degrading
AST0049,SEC006,2026-09-17,54,Degrading
AST0049,SEC006,2026-09-25,47,Degrading
AST0049,SEC006,2026-09-30,42,Degrading
AST0050,SEC006,2026-09-01,86,Stable
AST0050,SEC006,2026-09-09,87,Stable
AST0050,SEC006,2026-09-17,87,Stable
AST0050,SEC006,2026-09-25,87,Stable
AST0050,SEC006,2026-09-30,89,Stable
AST0051,SEC006,2026-09-01,88,Stable
AST0051,SEC006,2026-09-09,89,Stable
