train_no,train_type,section_id,division,departure_time,arrival_time,days_pattern,priority
51220,Freight,SEC001,Ambala,08:00,09:02,Daily,Low
62205,Suburban,SEC001,Ambala,18:15,20:31,Daily,High
61007,Express,SEC001,Ambala,18:15,20:07,"Mon,Wed,Fri",High
28343,Freight,SEC001,Ambala,10:45,13:01,"Mon,Wed,Fri",Low
22803,Freight,SEC001,Ambala,16:30,17:16,Mon-Sat,Low
90460,Express,SEC001,Ambala,02:30,04:27,"Sun,Tue,Thu",High
45825,Suburban,SEC002,Ambala,10:00,12:01,Mon-Sat,High
34345,Passenger,SEC002,Ambala,11:45,13:20,"Mon,Wed,Fri",Medium
91083,Passenger,SEC002,Ambala,12:00,14:18,Daily,Medium
45123,Freight,SEC002,Ambala,22:00,22:50,Daily,Low
61068,Passenger,SEC002,Ambala,20:15,22:29,Daily,Medium
68292,Passenger,SEC002,Ambala,02:00,03:19,Daily,Medium
34561,Freight,SEC002,Ambala,03:15,04:06,Mon-Sat,Low
13442,Passenger,SEC002,Ambala,17:45,18:38,Daily,Medium
60493,Passenger,SEC002,Ambala,02:30,05:00,Daily,Medium
78302,Passenger,SEC003,Ferozepur,02:15,04:08,Daily,Medium
49469,Freight,SEC003,Ferozepur,05:15,06:29,Daily,Low
46170,Passenger,SEC003,Ferozepur,02:15,03:50,Mon-Sat,Medium
42321,Express,SEC003,Ferozepur,02:30,03:42,"Mon,Wed,Fri",High
24021,Freight,SEC003,Ferozepur,19:15,20:53,Daily,Low
91289,Express,SEC003,Ferozepur,12:30,14:57,Mon-Sat,High
66441,Freight,SEC003,Ferozepur,10:45,12:07,"Mon,Wed,Fri",Low
89064,Suburban,SEC003,Ferozepur,04:30,05:51,"Mon,Wed,Fri",High
48200,Passenger,SEC004,Ferozepur,05:45,07:05,"Mon,Wed,Fri",Medium
59290,Freight,SEC004,Ferozepur,15:15,16:36,Daily,Low
83905,Freight,SEC004,Ferozepur,12:30,13:24,Daily,Low
82102,Passenger,SEC004,Ferozepur,17:15,19:22,Daily,Medium
48185,Suburban,SEC004,Ferozepur,14:15,15:51,"Mon,Wed,Fri",High
93012,Express,SEC004,Ferozepur,13:45,14:42,Daily,High
65460,Express,SEC004,Ferozepur,21:15,23:26,Mon-Sat,High
62534,Passenger,SEC005,Delhi,19:45,21:39,"Sun,Tue,Thu",Medium
14818,Passenger,SEC005,Delhi,22:45,00:34,Daily,Medium
42536,Freight,SEC005,Delhi,17:00,17:53,"Mon,Wed,Fri",Low
94545,Freight,SEC005,Delhi,05:00,06:52,"Mon,Wed,Fri",Low
11382,Freight,SEC005,Delhi,10:45,11:38,Daily,Low
59036,Express,SEC005,Delhi,16:15,17:52,Mon-Sat,High
13219,Freight,SEC006,Delhi,18:15,19:39,Mon-Sat,Low
28569,Express,SEC006,Delhi,13:00,13:54,Daily,High
73298,Express,SEC006,Delhi,14:15,16:01,Daily,High
18804,Passenger,SEC006,Delhi,14:45,16:05,Daily,Medium
54967,Express,SEC006,Delhi,22:00,22:42,"Mon,Wed,Fri",High
32865,Express,SEC006,Delhi,05:15,07:01,"Sun,Tue,Thu",High
40389,Express,SEC006,Delhi,17:45,19:24,Mon-Sat,High
13826,Freight,SEC006,Delhi,05:45,07:15,"Mon,Wed,Fri",Low
66302,Freight,SEC006,Delhi,06:45,08:40,Mon-Sat,Low
18200,Freight,SEC007,Lucknow,06:30,08:46,"Sun,Tue,Thu",Low
52727,Express,SEC007,Lucknow,17:15,18:41,Daily,High
93769,Passenger,SEC007,Lucknow,08:45,10:32,Daily,Medium
24972,Passenger,SEC007,Lucknow,19:45,21:40,Daily,Medium
98288,Passenger,SEC007,Lucknow,14:15,16:39,"Mon,Wed,Fri",Medium
27556,Freight,SEC007,Lucknow,19:00,21:06,Daily,Low
28528,Express,SEC008,Lucknow,03:15,04:42,"Sun,Tue,Thu",High
60293,Passenger,SEC008,Lucknow,19:15,21:08,Mon-Sat,Medium
31871,Express,SEC008,Lucknow,20:15,22:06,Mon-Sat,High
69113,Express,SEC008,Lucknow,05:30,07:57,"Sun,Tue,Thu",High
27895,Express,SEC008,Lucknow,11:00,12:42,Daily,High
99744,Freight,SEC008,Lucknow,17:45,19:17,Mon-Sat,Low
20835,Freight,SEC009,Moradabad,14:45,15:46,"Sun,Tue,Thu",Low
46025,Express,SEC009,Moradabad,07:30,08:14,Daily,High
74921,Passenger,SEC009,Moradabad,05:45,07:37,"Sun,Tue,Thu",Medium
81186,Passenger,SEC009,Moradabad,18:00,19:14,Daily,Medium
