date,section_id,division,forecast_goods_trains,expected_tonnage
2026-09-01,SEC001,Ambala,20,60720
2026-09-01,SEC002,Ambala,30,88230
2026-09-01,SEC003,Ferozepur,19,78204
2026-09-01,SEC004,Ferozepur,18,59670
2026-09-01,SEC005,Delhi,24,84624
2026-09-01,SEC006,Delhi,35,142485
2026-09-01,SEC007,Lucknow,16,42688
2026-09-01,SEC008,Lucknow,32,121952
2026-09-01,SEC009,Moradabad,27,82836
2026-09-01,SEC010,Moradabad,11,29381
2026-09-01,SEC011,Ferozepur,21,61236
2026-09-01,SEC012,Lucknow,28,116312
2026-09-02,SEC001,Ambala,20,74020
2026-09-02,SEC002,Ambala,34,129166
2026-09-02,SEC003,Ferozepur,18,68706
2026-09-02,SEC004,Ferozepur,12,31620
2026-09-02,SEC005,Delhi,30,89640
2026-09-02,SEC006,Delhi,42,109956
2026-09-02,SEC007,Lucknow,22,60214
2026-09-02,SEC008,Lucknow,41,140548
2026-09-02,SEC009,Moradabad,35,135240
2026-09-02,SEC010,Moradabad,11,44198
2026-09-02,SEC011,Ferozepur,21,53025
2026-09-02,SEC012,Lucknow,20,78980
2026-09-03,SEC001,Ambala,19,66804
2026-09-03,SEC002,Ambala,30,96300
2026-09-03,SEC003,Ferozepur,12,47712
2026-09-03,SEC004,Ferozepur,17,51510
2026-09-03,SEC005,Delhi,35,143465
2026-09-03,SEC006,Delhi,38,115900
2026-09-03,SEC007,Lucknow,22,56320
2026-09-03,SEC008,Lucknow,25,79650
2026-09-03,SEC009,Moradabad,39,102570
2026-09-03,SEC010,Moradabad,10,30380
2026-09-03,SEC011,Ferozepur,21,55797
2026-09-03,SEC012,Lucknow,17,59772
2026-09-04,SEC001,Ambala,15,52845
2026-09-04,SEC002,Ambala,31,113460
2026-09-04,SEC003,Ferozepur,19,77577
2026-09-04,SEC004,Ferozepur,20,54200
2026-09-04,SEC005,Delhi,41,112176
2026-09-04,SEC006,Delhi,28,83076
2026-09-04,SEC007,Lucknow,22,55550
2026-09-04,SEC008,Lucknow,27,81000
2026-09-04,SEC009,Moradabad,44,123508
2026-09-04,SEC010,Moradabad,13,37258
2026-09-04,SEC011,Ferozepur,31,112592
2026-09-04,SEC012,Lucknow,19,78736
2026-09-05,SEC001,Ambala,24,80592
2026-09-05,SEC002,Ambala,24,71016
2026-09-05,SEC003,Ferozepur,16,63600
2026-09-05,SEC004,Ferozepur,21,66255
2026-09-05,SEC005,Delhi,33,107679
2026-09-05,SEC006,Delhi,38,104272
2026-09-05,SEC007,Lucknow,12,34404
2026-09-05,SEC008,Lucknow,28,82796
2026-09-05,SEC009,Moradabad,44,146124
2026-09-05,SEC010,Moradabad,5,13205
2026-09-05,SEC011,Ferozepur,29,118436
2026-09-05,SEC012,Lucknow,16,50176
2026-09-06,SEC001,Ambala,16,40256
2026-09-06,SEC002,Ambala,36,117180
2026-09-06,SEC003,Ferozepur,19,59318
2026-09-06,SEC004,Ferozepur,22,88308
2026-09-06,SEC005,Delhi,28,103908
2026-09-06,SEC006,Delhi,29,101790
2026-09-06,SEC007,Lucknow,30,120000
2026-09-06,SEC008,Lucknow,28,101332
2026-09-06,SEC009,Moradabad,38,95494
