date,section_id,division,available_window_start,available_window_minutes,weather,crew_available_engineering,crew_available_st,crew_available_trd,machines_available
2026-09-01,SEC001,Ambala,01:00,168,Clear,5,4,5,2
2026-09-01,SEC002,Ambala,02:00,127,Clear,4,5,4,3
2026-09-01,SEC003,Ferozepur,01:00,170,Clear,3,6,4,3
2026-09-01,SEC004,Ferozepur,01:00,171,Clear,3,5,2,2
2026-09-01,SEC005,Delhi,00:00,114,Clear,5,4,4,1
2026-09-01,SEC006,Delhi,01:00,106,Clear,4,2,5,3
2026-09-01,SEC007,Lucknow,01:00,155,Cloudy,8,2,5,2
2026-09-01,SEC008,Lucknow,00:00,67,Heavy Rain/Monsoon,4,4,1,3
2026-09-01,SEC009,Moradabad,01:00,98,Clear,8,3,5,3
2026-09-01,SEC010,Moradabad,23:00,193,Clear,4,6,3,2
2026-09-01,SEC011,Ferozepur,01:00,152,Clear,8,4,3,3
2026-09-01,SEC012,Lucknow,01:00,153,Cloudy,4,4,3,3
2026-09-02,SEC001,Ambala,01:00,168,Clear,5,4,4,3
2026-09-02,SEC002,Ambala,23:00,127,Clear,3,5,2,3
2026-09-02,SEC003,Ferozepur,02:00,170,Clear,4,6,2,3
2026-09-02,SEC004,Ferozepur,00:00,171,Clear,6,2,3,1
2026-09-02,SEC005,Delhi,00:00,114,Clear,7,5,3,2
2026-09-02,SEC006,Delhi,23:00,106,Cloudy,6,4,3,2
2026-09-02,SEC007,Lucknow,00:00,155,Clear,5,3,3,3
2026-09-02,SEC008,Lucknow,02:00,134,Clear,3,3,5,3
2026-09-02,SEC009,Moradabad,00:00,98,Clear,6,5,2,1
2026-09-02,SEC010,Moradabad,23:00,193,Cloudy,3,4,3,1
2026-09-02,SEC011,Ferozepur,00:00,152,Clear,4,3,4,2
2026-09-02,SEC012,Lucknow,23:00,153,Clear,7,6,4,1
2026-09-03,SEC001,Ambala,01:00,142,Light Rain,5,4,5,3
2026-09-03,SEC002,Ambala,01:00,127,Clear,8,3,4,2
2026-09-03,SEC003,Ferozepur,00:00,170,Cloudy,4,5,2,1
2026-09-03,SEC004,Ferozepur,00:00,171,Cloudy,4,3,2,3
2026-09-03,SEC005,Delhi,01:00,114,Clear,8,2,5,3
2026-09-03,SEC006,Delhi,23:00,106,Cloudy,7,2,2,3
2026-09-03,SEC007,Lucknow,02:00,155,Cloudy,3,2,2,2
2026-09-03,SEC008,Lucknow,00:00,134,Clear,7,4,5,3
2026-09-03,SEC009,Moradabad,23:00,98,Clear,8,2,4,2
2026-09-03,SEC010,Moradabad,23:00,193,Cloudy,5,6,3,2
2026-09-03,SEC011,Ferozepur,23:00,152,Clear,7,2,4,1
2026-09-03,SEC012,Lucknow,00:00,153,Clear,7,3,4,3
2026-09-04,SEC001,Ambala,02:00,168,Clear,6,4,3,1
2026-09-04,SEC002,Ambala,23:00,63,Heavy Rain/Monsoon,6,4,3,1
2026-09-04,SEC003,Ferozepur,23:00,170,Clear,3,2,5,1
2026-09-04,SEC004,Ferozepur,00:00,171,Cloudy,3,2,4,3
2026-09-04,SEC005,Delhi,23:00,114,Clear,5,4,5,1
2026-09-04,SEC006,Delhi,01:00,90,Light Rain,3,4,4,3
2026-09-04,SEC007,Lucknow,00:00,155,Clear,3,2,2,1
2026-09-04,SEC008,Lucknow,01:00,134,Cloudy,4,4,4,2
2026-09-04,SEC009,Moradabad,23:00,83,Light Rain,3,4,4,1
2026-09-04,SEC010,Moradabad,02:00,193,Clear,6,4,5,3
2026-09-04,SEC011,Ferozepur,23:00,152,Cloudy,8,3,2,1
2026-09-04,SEC012,Lucknow,02:00,91,Fog,2,1,4,3
2026-09-05,SEC001,Ambala,02:00,142,Light Rain,8,5,3,3
2026-09-05,SEC002,Ambala,02:00,127,Cloudy,7,2,3,2
2026-09-05,SEC003,Ferozepur,01:00,170,Clear,6,5,2,1
2026-09-05,SEC004,Ferozepur,01:00,171,Cloudy,3,6,3,3
2026-09-05,SEC005,Delhi,00:00,114,Clear,8,6,2,2
2026-09-05,SEC006,Delhi,23:00,106,Clear,8,5,3,3
2026-09-05,SEC007,Lucknow,00:00,155,Clear,4,6,5,2
2026-09-05,SEC008,Lucknow,01:00,134,Clear,6,4,3,2
2026-09-05,SEC009,Moradabad,00:00,98,Clear,4,6,5,2
2026-09-05,SEC010,Moradabad,02:00,193,Clear,6,6,5,1
2026-09-05,SEC011,Ferozepur,02:00,152,Clear,3,5,2,1
2026-09-05,SEC012,Lucknow,01:00,153,Clear,7,6,2,1
2026-09-06,SEC001,Ambala,01:00,142,Light Rain,7,3,5,2
2026-09-06,SEC002,Ambala,02:00,107,Light Rain,4,5,4,3
2026-09-06,SEC003,Ferozepur,00:00,170,Cloudy,5,5,2,1
2026-09-06,SEC004,Ferozepur,23:00,171,Clear,5,4,4,3
2026-09-06,SEC005,Delhi,02:00,114,Clear,4,5,3,3
2026-09-06,SEC006,Delhi,02:00,106,Clear,7,3,3,1
2026-09-06,SEC007,Lucknow,23:00,155,Clear,4,4,2,2
2026-09-06,SEC008,Lucknow,02:00,67,Heavy Rain/Monsoon,6,5,1,2
2026-09-06,SEC009,Moradabad,23:00,98,Cloudy,7,3,5,1
2026-09-06,SEC010,Moradabad,00:00,193,Clear,6,6,5,3
2026-09-06,SEC011,Ferozepur,01:00,152,Cloudy,4,3,2,2
2026-09-06,SEC012,Lucknow,02:00,153,Clear,6,5,3,2
2026-09-07,SEC001,Ambala,02:00,100,Fog,3,4,2,1
2026-09-07,SEC002,Ambala,01:00,127,Clear,8,6,4,3
2026-09-07,SEC003,Ferozepur,01:00,170,Cloudy,7,3,3,1
2026-09-07,SEC004,Ferozepur,01:00,171,Cloudy,8,3,3,3
2026-09-07,SEC005,Delhi,02:00,114,Cloudy,5,6,5,3
2026-09-07,SEC006,Delhi,23:00,106,Cloudy,7,4,5,1
2026-09-07,SEC007,Lucknow,01:00,155,Clear,4,2,2,1
2026-09-07,SEC008,Lucknow,23:00,134,Cloudy,4,4,4,1
2026-09-07,SEC009,Moradabad,02:00,98,Cloudy,5,3,2,2
2026-09-07,SEC010,Moradabad,02:00,193,Clear,8,6,3,3
2026-09-07,SEC011,Ferozepur,02:00,152,Clear,8,4,2,2
2026-09-07,SEC012,Lucknow,01:00,153,Clear,8,4,2,1
2026-09-08,SEC001,Ambala,00:00,168,Clear,6,3,4,3
2026-09-08,SEC002,Ambala,23:00,127,Cloudy,4,4,5,1
2026-09-08,SEC003,Ferozepur,23:00,170,Clear,4,6,2,2
2026-09-08,SEC004,Ferozepur,01:00,171,Clear,7,4,3,1
2026-09-08,SEC005,Delhi,01:00,114,Clear,6,3,2,1
2026-09-08,SEC006,Delhi,01:00,106,Clear,8,6,4,2
2026-09-08,SEC007,Lucknow,23:00,155,Clear,8,4,3,1
2026-09-08,SEC008,Lucknow,01:00,134,Cloudy,4,5,5,1
2026-09-08,SEC009,Moradabad,01:00,98,Clear,4,4,4,2
2026-09-08,SEC010,Moradabad,23:00,193,Clear,7,6,5,3
2026-09-08,SEC011,Ferozepur,00:00,152,Clear,5,5,3,3
2026-09-08,SEC012,Lucknow,02:00,91,Fog,6,3,4,1
2026-09-09,SEC001,Ambala,01:00,168,Clear,8,4,2,3
2026-09-09,SEC002,Ambala,01:00,127,Clear,7,5,5,1
2026-09-09,SEC003,Ferozepur,00:00,144,Light Rain,4,4,2,1
2026-09-09,SEC004,Ferozepur,23:00,102,Fog,5,5,1,3
2026-09-09,SEC005,Delhi,00:00,114,Clear,8,3,5,1
2026-09-09,SEC006,Delhi,00:00,106,Clear,8,5,2,3
2026-09-09,SEC007,Lucknow,23:00,155,Clear,8,4,2,1
2026-09-09,SEC008,Lucknow,00:00,134,Clear,5,6,2,3
2026-09-09,SEC009,Moradabad,02:00,49,Heavy Rain/Monsoon,4,4,4,3
2026-09-09,SEC010,Moradabad,23:00,193,Clear,3,5,2,3
2026-09-09,SEC011,Ferozepur,23:00,152,Clear,7,2,2,3
2026-09-09,SEC012,Lucknow,01:00,153,Clear,7,2,4,3
2026-09-10,SEC001,Ambala,23:00,168,Clear,5,5,5,2
2026-09-10,SEC002,Ambala,02:00,127,Clear,7,3,3,3
2026-09-10,SEC003,Ferozepur,01:00,170,Cloudy,7,4,3,2
2026-09-10,SEC004,Ferozepur,23:00,102,Fog,1,5,2,1
2026-09-10,SEC005,Delhi,00:00,114,Clear,7,5,2,2
2026-09-10,SEC006,Delhi,00:00,106,Cloudy,8,4,3,2
2026-09-10,SEC007,Lucknow,23:00,155,Clear,4,6,4,1
2026-09-10,SEC008,Lucknow,23:00,134,Clear,7,2,5,3
