request_id,date_requested,department,section_id,division,requested_window_start,requested_duration_min,approval_status,approved_duration_min,coordinated_with_other_dept,same_night_other_dept_requests
BDMS0001,2026-09-01,Engineering,SEC002,Ambala,01:00,117,Partially,60,N/A,0
BDMS0002,2026-09-01,Engineering,SEC004,Ferozepur,00:00,176,Yes,176,N/A,0
BDMS0003,2026-09-01,S&T,SEC007,Lucknow,01:00,159,Yes,159,N/A,0
BDMS0004,2026-09-01,TRD,SEC008,Lucknow,23:00,118,Yes,118,No,2
BDMS0005,2026-09-01,Engineering,SEC008,Lucknow,23:00,60,Yes,60,No,2
BDMS0006,2026-09-01,S&T,SEC008,Lucknow,23:00,102,Yes,102,No,2
BDMS0007,2026-09-01,S&T,SEC011,Ferozepur,01:00,85,Yes,85,No,1
BDMS0008,2026-09-01,Engineering,SEC011,Ferozepur,01:00,158,Yes,158,No,1
BDMS0009,2026-09-01,Engineering,SEC012,Lucknow,23:00,86,Yes,86,N/A,0
BDMS0010,2026-09-02,S&T,SEC001,Ambala,23:00,99,Partially,53,No,2
BDMS0011,2026-09-02,Engineering,SEC001,Ambala,02:00,66,Yes,66,No,2
BDMS0012,2026-09-02,TRD,SEC001,Ambala,23:00,73,Yes,73,No,2
BDMS0013,2026-09-02,TRD,SEC002,Ambala,01:00,99,Yes,99,No,1
BDMS0014,2026-09-02,S&T,SEC002,Ambala,23:00,178,Partially,104,No,1
BDMS0015,2026-09-02,TRD,SEC003,Ferozepur,23:00,118,Yes,118,No,1
BDMS0016,2026-09-02,S&T,SEC003,Ferozepur,02:00,120,Yes,120,No,1
BDMS0017,2026-09-02,TRD,SEC007,Lucknow,01:00,118,Yes,118,No,1
BDMS0018,2026-09-02,S&T,SEC007,Lucknow,23:00,104,Yes,104,No,1
BDMS0019,2026-09-02,TRD,SEC008,Lucknow,00:00,125,Yes,125,N/A,0
BDMS0020,2026-09-02,S&T,SEC010,Moradabad,02:00,135,Yes,135,No,1
BDMS0021,2026-09-02,TRD,SEC010,Moradabad,00:00,121,Yes,121,No,1
BDMS0022,2026-09-03,TRD,SEC002,Ambala,00:00,144,Partially,100,No,1
BDMS0023,2026-09-03,Engineering,SEC002,Ambala,02:00,74,Partially,43,No,1
BDMS0024,2026-09-03,Engineering,SEC005,Delhi,01:00,123,Partially,52,No,2
BDMS0025,2026-09-03,TRD,SEC005,Delhi,00:00,164,Yes,164,No,2
BDMS0026,2026-09-03,S&T,SEC005,Delhi,23:00,156,Yes,156,No,2
BDMS0027,2026-09-03,Engineering,SEC007,Lucknow,01:00,98,Partially,74,No,1
BDMS0028,2026-09-03,TRD,SEC007,Lucknow,01:00,177,No,0,No,1
BDMS0029,2026-09-03,Engineering,SEC009,Moradabad,02:00,168,Yes,168,N/A,0
BDMS0030,2026-09-03,Engineering,SEC010,Moradabad,23:00,150,Partially,118,N/A,0
BDMS0031,2026-09-03,Engineering,SEC011,Ferozepur,00:00,115,Partially,64,N/A,0
BDMS0032,2026-09-03,S&T,SEC012,Lucknow,02:00,129,Yes,129,N/A,0
BDMS0033,2026-09-04,S&T,SEC001,Ambala,00:00,96,No,0,No,1
BDMS0034,2026-09-04,TRD,SEC001,Ambala,00:00,61,Yes,61,No,1
BDMS0035,2026-09-04,Engineering,SEC003,Ferozepur,23:00,77,Partially,43,N/A,0
BDMS0036,2026-09-04,TRD,SEC004,Ferozepur,00:00,118,Yes,118,No,1
BDMS0037,2026-09-04,S&T,SEC004,Ferozepur,02:00,109,Yes,109,No,1
BDMS0038,2026-09-04,S&T,SEC008,Lucknow,01:00,64,No,0,N/A,0
BDMS0039,2026-09-04,TRD,SEC010,Moradabad,23:00,78,Partially,47,N/A,0
BDMS0040,2026-09-05,TRD,SEC001,Ambala,23:00,91,Yes,91,N/A,0
BDMS0041,2026-09-05,TRD,SEC003,Ferozepur,23:00,175,Yes,175,No,1
BDMS0042,2026-09-05,S&T,SEC003,Ferozepur,02:00,118,Yes,118,No,1
BDMS0043,2026-09-05,S&T,SEC005,Delhi,23:00,148,No,0,No,2
BDMS0044,2026-09-05,TRD,SEC005,Delhi,01:00,67,Partially,42,No,2
BDMS0045,2026-09-05,Engineering,SEC005,Delhi,23:00,144,No,0,No,2
BDMS0046,2026-09-05,TRD,SEC007,Lucknow,23:00,168,Partially,84,N/A,0
BDMS0047,2026-09-05,TRD,SEC009,Moradabad,23:00,137,Yes,137,N/A,0
BDMS0048,2026-09-05,Engineering,SEC010,Moradabad,01:00,160,Partially,95,N/A,0
BDMS0049,2026-09-06,Engineering,SEC001,Ambala,00:00,167,Yes,167,N/A,0
BDMS0050,2026-09-06,TRD,SEC003,Ferozepur,00:00,86,Partially,63,N/A,0
BDMS0051,2026-09-06,Engineering,SEC004,Ferozepur,23:00,81,Yes,81,N/A,0
BDMS0052,2026-09-06,TRD,SEC005,Delhi,02:00,120,Yes,120,No,2
BDMS0053,2026-09-06,Engineering,SEC005,Delhi,02:00,61,Yes,61,No,2
BDMS0054,2026-09-06,S&T,SEC005,Delhi,02:00,146,Yes,146,No,2
BDMS0055,2026-09-06,S&T,SEC007,Lucknow,02:00,138,No,0,N/A,0
BDMS0056,2026-09-06,Engineering,SEC008,Lucknow,01:00,143,Partially,83,N/A,0
